# File: FoodProcessing_energy_region_IAA.csv
# Title: FoodProcessing and FoodProcessing_enuse energy by IAA region
# Units: EJ
# Description: Regional FoodProcessing energy consumption
# Source: World FoodProcessing Association
# Column types: ciccnc
# ----------
flow,year,IAA_region,fuel,value,unit
FoodProcessing,2007,GCC,electricity,0,EJ
FoodProcessing,2008,GCC,electricity,0,EJ
FoodProcessing,2009,GCC,electricity,0,EJ
FoodProcessing,2010,GCC,electricity,0,EJ
FoodProcessing,2011,GCC,electricity,0,EJ
FoodProcessing,2012,GCC,electricity,0.1334736,EJ
FoodProcessing,2013,GCC,electricity,0.1398168,EJ
FoodProcessing,2014,GCC,electricity,0.2076048,EJ
FoodProcessing,2015,GCC,electricity,0.22779,EJ
FoodProcessing,1980,North America,electricity,0.359892,EJ
FoodProcessing,1981,North America,electricity,0.343422,EJ
FoodProcessing,1982,North America,electricity,0.2655936,EJ
FoodProcessing,1983,North America,electricity,0.2760228,EJ
FoodProcessing,1984,North America,electricity,0.3316032,EJ
FoodProcessing,1985,North America,electricity,0.2911788,EJ
FoodProcessing,1986,North America,electricity,0.2665692,EJ
FoodProcessing,1987,North America,electricity,0.2945304,EJ
FoodProcessing,1988,North America,electricity,0.3284496,EJ
FoodProcessing,1989,North America,electricity,0.3394188,EJ
FoodProcessing,1990,North America,electricity,0.3330432,EJ
FoodProcessing,1991,North America,electricity,0.3483468,EJ
FoodProcessing,1992,North America,electricity,0.349938,EJ
FoodProcessing,1993,North America,electricity,0.345852,EJ
FoodProcessing,1994,North America,electricity,0.3199536,EJ
FoodProcessing,1995,North America,electricity,0.3208428,EJ
FoodProcessing,1996,North America,electricity,0.3373344,EJ
FoodProcessing,1997,North America,electricity,0.3413304,EJ
FoodProcessing,1998,North America,electricity,0.3506472,EJ
FoodProcessing,1999,North America,electricity,0.313092,EJ
FoodProcessing,2000,North America,electricity,0.3138444,EJ
FoodProcessing,2001,North America,electricity,0.2573352,EJ
FoodProcessing,2002,North America,electricity,0.2832552,EJ
FoodProcessing,2003,North America,electricity,0.2921328,EJ
FoodProcessing,2004,North America,electricity,0.2651616,EJ
FoodProcessing,2005,North America,electricity,0.2874276,EJ
FoodProcessing,2006,North America,electricity,0.2807964,EJ
FoodProcessing,2007,North America,electricity,0.2952324,EJ
FoodProcessing,2008,North America,electricity,0.304902,EJ
FoodProcessing,2009,North America,electricity,0.2204928,EJ
FoodProcessing,2010,North America,electricity,0.2415348,EJ
FoodProcessing,2011,North America,electricity,0.25056,EJ
FoodProcessing,2012,North America,electricity,0.243738,EJ
FoodProcessing,2013,North America,electricity,0.2431116,EJ
FoodProcessing,2014,North America,electricity,0.2056644,EJ
FoodProcessing,2015,North America,electricity,0.2414088,EJ
FoodProcessing,1980,Oceania,electricity,0.0276156,EJ
FoodProcessing,1981,Oceania,electricity,0.0310644,EJ
FoodProcessing,1982,Oceania,electricity,0.0324648,EJ
FoodProcessing,1983,Oceania,electricity,0.0412092,EJ
FoodProcessing,1984,Oceania,electricity,0.0571032,EJ
FoodProcessing,1985,Oceania,electricity,0.0625896,EJ
FoodProcessing,1986,Oceania,electricity,0.064062,EJ
FoodProcessing,1987,Oceania,electricity,0.0718884,EJ
FoodProcessing,1988,Oceania,electricity,0.0794736,EJ
FoodProcessing,1989,Oceania,electricity,0.0826668,EJ
FoodProcessing,1990,Oceania,electricity,0.0830772,EJ
FoodProcessing,1991,Oceania,electricity,0.084114,EJ
FoodProcessing,1992,Oceania,electricity,0.0826956,EJ
FoodProcessing,1993,Oceania,electricity,0.091044,EJ
FoodProcessing,1994,Oceania,electricity,0.08649,EJ
FoodProcessing,1995,Oceania,electricity,0.0858636,EJ
FoodProcessing,1996,Oceania,electricity,0.0907416,EJ
FoodProcessing,1997,Oceania,electricity,0.0987084,EJ
FoodProcessing,1998,Oceania,electricity,0.1070964,EJ
FoodProcessing,1999,Oceania,electricity,0.1095372,EJ
FoodProcessing,2000,Oceania,electricity,0.10449,EJ
FoodProcessing,2001,Oceania,electricity,0.1130436,EJ
FoodProcessing,2002,Oceania,electricity,0.1134,EJ
FoodProcessing,2003,Oceania,electricity,0.1167912,EJ
FoodProcessing,2004,Oceania,electricity,0.119376,EJ
FoodProcessing,2005,Oceania,electricity,0.1198044,EJ
FoodProcessing,2006,Oceania,electricity,0.1214784,EJ
FoodProcessing,2007,Oceania,electricity,0.1239012,EJ
FoodProcessing,2008,Oceania,electricity,0.1218528,EJ
FoodProcessing,2009,Oceania,electricity,0.1154016,EJ
