# File: FoodProcessing_prod_region_IAA.csv
# Title: FoodProcessing and FoodProcessing_enuse production by IAA region
# Units: Thousand tons
# Description: Regional FoodProcessing production
# Source: World FoodProcessing Association
# Column types: cicnc
# ----------
flow,year,IAA_region,value,unit
FoodProcessing,1996,West Europe,3192,Thousand metric tons
FoodProcessing,1997,Africa,1106,Thousand metric tons
FoodProcessing,1997,Asia (ex China),1910,Thousand metric tons
FoodProcessing,1997,China (Estimated),0,Thousand metric tons
FoodProcessing,1997,East & Central Europe,3316,Thousand metric tons
FoodProcessing,1997,GCC,0,Thousand metric tons
FoodProcessing,1997,North America,5930,Thousand metric tons
FoodProcessing,1997,Oceania,1804,Thousand metric tons
FoodProcessing,1997,South America,2116,Thousand metric tons
FoodProcessing,1997,West Europe,3297,Thousand metric tons
FoodProcessing,1998,Africa,1043,Thousand metric tons
FoodProcessing,1998,Asia (ex China),1843,Thousand metric tons
FoodProcessing,1998,China (Estimated),0,Thousand metric tons
FoodProcessing,1998,East & Central Europe,3419,Thousand metric tons
FoodProcessing,1998,GCC,0,Thousand metric tons
FoodProcessing,1998,North America,6086,Thousand metric tons
FoodProcessing,1998,Oceania,1934,Thousand metric tons
FoodProcessing,1998,South America,2075,Thousand metric tons
FoodProcessing,1998,West Europe,3549,Thousand metric tons
FoodProcessing,1999,Africa,1095,Thousand metric tons
FoodProcessing,1999,Asia (ex China),1966,Thousand metric tons
FoodProcessing,1999,China (Estimated),2598,Thousand metric tons
FoodProcessing,1999,East & Central Europe,3584,Thousand metric tons
FoodProcessing,1999,GCC,0,Thousand metric tons
FoodProcessing,1999,North America,6169,Thousand metric tons
FoodProcessing,1999,Oceania,2028,Thousand metric tons
FoodProcessing,1999,South America,2093,Thousand metric tons
FoodProcessing,1999,West Europe,3720,Thousand metric tons
FoodProcessing,2000,Africa,1178,Thousand metric tons
FoodProcessing,2000,Asia (ex China),2221,Thousand metric tons
FoodProcessing,2000,China (Estimated),2794,Thousand metric tons
FoodProcessing,2000,East & Central Europe,3689,Thousand metric tons
FoodProcessing,2000,GCC,0,Thousand metric tons
FoodProcessing,2000,North America,6041,Thousand metric tons
FoodProcessing,2000,Oceania,2094,Thousand metric tons
FoodProcessing,2000,South America,2167,Thousand metric tons
FoodProcessing,2000,West Europe,3801,Thousand metric tons
FoodProcessing,2001,Africa,1369,Thousand metric tons
FoodProcessing,2001,Asia (ex China),2234,Thousand metric tons
FoodProcessing,2001,China (Estimated),3371,Thousand metric tons
FoodProcessing,2001,East & Central Europe,3728,Thousand metric tons
FoodProcessing,2001,GCC,0,Thousand metric tons
FoodProcessing,2001,North America,5222,Thousand metric tons
FoodProcessing,2001,Oceania,2122,Thousand metric tons
FoodProcessing,2001,South America,1991,Thousand metric tons
FoodProcessing,2001,West Europe,3885,Thousand metric tons
FoodProcessing,2002,Africa,1372,Thousand metric tons
FoodProcessing,2002,Asia (ex China),2261,Thousand metric tons
FoodProcessing,2002,China (Estimated),4321,Thousand metric tons
FoodProcessing,2002,East & Central Europe,3825,Thousand metric tons
FoodProcessing,2002,GCC,0,Thousand metric tons
FoodProcessing,2002,North America,5413,Thousand metric tons
FoodProcessing,2002,Oceania,2170,Thousand metric tons
FoodProcessing,2002,South America,2230,Thousand metric tons
FoodProcessing,2002,West Europe,3928,Thousand metric tons
FoodProcessing,2003,Africa,1428,Thousand metric tons
FoodProcessing,2003,Asia (ex China),2475,Thousand metric tons
FoodProcessing,2003,China (Estimated),5547,Thousand metric tons
FoodProcessing,2003,East & Central Europe,3996,Thousand metric tons
FoodProcessing,2003,GCC,0,Thousand metric tons
FoodProcessing,2003,North America,5495,Thousand metric tons
FoodProcessing,2003,Oceania,2198,Thousand metric tons
FoodProcessing,2003,South America,2275,Thousand metric tons
FoodProcessing,2003,West Europe,4068,Thousand metric tons
FoodProcessing,2004,Africa,1711,Thousand metric tons
FoodProcessing,2004,Asia (ex China),2735,Thousand metric tons
FoodProcessing,2004,China (Estimated),6689,Thousand metric tons
FoodProcessing,2004,East & Central Europe,4139,Thousand metric tons
FoodProcessing,2004,GCC,0,Thousand metric tons
